latitude,longitude,photon height,confidence code
-15.286570967631556,-75.16422674753892,191.71497,4
-15.286577399850733,-75.16422747791563,191.09424,4
-15.286577383405847,-75.16422737687851,191.93709,4
-15.286583812937344,-75.16422807873256,191.5562,4
-15.2865838070001,-75.16422804225441,191.8605,4
-15.286583807812459,-75.16422804724549,191.81886,4
-15.286588767845505,-75.1642198255636,265.86435,0
-15.286590229138481,-75.1642286982631,191.86235,4
-15.286590231582142,-75.16422871327683,191.7371,4
-15.286596652263746,-75.16422936571846,191.76819,4
-15.286603075113769,-75.16423002532638,191.74059,4
-15.286603068819405,-75.16422998665449,192.06319,4
-15.286609509096271,-75.16423075298012,191.14566,4
-15.286615909911708,-75.16423127695067,192.2501,4
-15.286615914861825,-75.16423130116361,192.04897,4
-15.286615921793523,-75.16423134375097,191.69371,4
-15.28662232602866,-75.16423189421084,192.57668,4
-15.286622331918117,-75.16423193039466,192.27483,4
-15.286622322783927,-75.16423187427577,192.74297,4
-15.286627497110347,-75.164224948727,255.98027,0
-15.286628751338132,-75.16423256766885,192.43474,4
-15.286628760649295,-75.16423261867509,192.01009,4
-15.286635182875754,-75.16423327871743,191.97955,4
-15.28664160556764,-75.16423393560505,191.97644,4
-15.286641599214606,-75.16423390277323,192.24948,4
-15.286648019492706,-75.16423454462257,192.37215,4
-15.286648020106277,-75.1642345483922,192.3407,4
-15.286654442777326,-75.16423520475793,192.34256,4
-15.286654446086443,-75.16423522508822,192.17297,4
-15.286660858957909,-75.16423582108641,192.67874,4
-15.28666087128355,-75.16423589061175,192.09961,4
-15.286667275084566,-75.16423643694547,193.01913,4
-15.286667289707392,-75.16423652678341,192.26971,4
-15.286667300101936,-75.16423658444445,191.78955,4
-15.286673710935371,-75.16423717386817,192.34995,4
-15.286673720141035,-75.16423722422493,191.93071,4
-15.286673717031652,-75.16423720512195,192.09007,4
-15.286673703319602,-75.16423712707952,192.74025,4
-15.286673714940951,-75.16423719847714,192.14465,4
-15.286680122380924,-75.16423776076148,192.9326,4
-15.286686556212866,-75.16423848512011,192.36887,4
-15.28669297429978,-75.16423911270176,192.61275,4
-15.286699400686311,-75.16423979125051,192.43178,4
-15.286699403447363,-75.1642398082132,192.29028,4
-15.286699393313611,-75.16423974595575,192.80963,4
-15.286699403900482,-75.16423981099696,192.26706,4
-15.286705899170485,-75.16424090653555,188.60876,4
-15.286705827942146,-75.1642404751403,192.20659,4
-15.28671224439997,-75.16424109271561,192.53493,4
-15.286718667143722,-75.16424174895525,192.54105,4
-15.28672508422588,-75.16424237048216,192.83707,4
-15.286725081303599,-75.1642423525292,192.98683,4
-15.286725082942592,-75.16424236259832,192.90283,4
-15.28673150582231,-75.16424302561623,192.85226,4
-15.286731514878074,-75.16424308125002,192.38817,4
-15.286737920445958,-75.16424363224624,193.27322,4
-15.28673792724329,-75.16424367400523,192.92487,4
-15.286737919355929,-75.16424362554972,193.32909,4
-15.286737927818153,-75.16424367753687,192.89542,4
-15.28674435138251,-75.164244333066,192.90967,4
-15.286744352409196,-75.16424433937335,192.85706,4
-15.286744348733636,-75.16424431679283,193.04543,4
-15.286750774746997,-75.1642449936913,192.88087,4
-15.286757199844308,-75.16424566514377,192.76212,4
-15.286776452980828,-75.16424755048776,193.48325,4
-15.286782882267538,-75.16424824862595,193.14325,4
-15.286789303341392,-75.1642488966024,193.22203,4
-15.286789293184205,-75.16424883420412,193.74255,4
-15.286789302567131,-75.16424889184587,193.26172,4
-15.286802154317817,-75.16425025931805,192.8221,4
-15.286802142172808,-75.16425018470859,193.44449,4
-15.286802136612595,-75.16425015055098,193.72943,4
-15.28681498272343,-75.16425147324304,193.66641,4
-15.286821409825619,-75.16425216581929,193.3741,4
